"source_name","target_name","n_items"
"206-Seasonal","207-Advent",75
"535-Collectible Minifigures","711-The LEGO Batman Movie Series 2",23
"126-Space","136-M:Tron",11
"501-Gear","737-Role Play Toys and Costumes",223
"535-Collectible Minifigures","537-Series 2 Minifigures",19
"535-Collectible Minifigures","609-The LEGO Batman Movie Series 1",23
"561-The Hobbit and Lord of the Rings","562-The Hobbit",25
"507-Educational and Dacta","526-Soft Bricks",6
"501-Gear","741-Tabletop Games and Puzzles",41
"608-Disney","388-Mickey Mouse",15
"501-Gear","732-Clocks and Watches",214
"497-Books","498-Technic",10
"535-Collectible Minifigures","543-Series 8 Minifigures",19
"52-City","61-Police",11
"112-Racers","114-Ferrari",37
"507-Educational and Dacta","511-Building Set with People",2
"307-Aquazone","313-Stingrays",5
"252-Architecture","253-Skylines",15
"591-Juniors","595-Friends",8
"608-Disney","579-Disney Princess",100
"497-Books","757-Ideas Books",99
"497-Books","759-Story Books",241
"535-Collectible Minifigures","675-The LEGO Movie II",23
"507-Educational and Dacta","534-Universal Building Set",21
"591-Juniors","593-Disney Princess",5
"50-Town","92-Res-Q",13
"507-Educational and Dacta","533-Town",36
"598-Promotional","728-McDonalds",19
"126-Space","127-Alien Conquest",10
"186-Castle","196-Kingdoms",25
"126-Space","143-Supplemental",16
"535-Collectible Minifigures","536-Series 1 Minifigures",19
"258-Mindstorms","261-Star Wars",3
"186-Castle","191-Dark Forest",3
"155-Modular Buildings","156-Mini",1
"458-Sports","462-Soccer",109
"50-Town","93-Space Port",22
"504-Duplo","630-Marvel",9
"535-Collectible Minifigures","714-Looney Tunes",16
"504-Duplo","652-Playhouse",60
"524-Service Packs","525-Technic",282
"754-Disney","638-Jake and the Never Land Pirates",7
"207-Advent","208-City",21
"518-Mindstorms","519-NXT",9
"207-Advent","215-Pirates",1
"207-Advent","210-Belville",1
"507-Educational and Dacta","529-Technic",73
"186-Castle","194-Forestmen",7
"302-Agents","303-Ultra Agents",15
"571-Legends of Chima","572-Speedorz",31
"501-Gear","503-Key Chain",707
"408-LEGO Brand Store","410-Pick A Model",32
"507-Educational and Dacta","516-Duplo and Explore",298
"598-Promotional","729-Airlines",17
"126-Space","129-Blacktron II",28
"535-Collectible Minifigures","656-Harry Potter and Fantastic Beasts Series 1",25
"112-Racers","118-Promotional",21
"50-Town","67-Classic Town",451
"443-Service Packs","453-Technic",152
"158-Star Wars","171-Ultimate Collector Series",51
"50-Town","91-Race",16
"504-Duplo","647-Castle",16
"504-Duplo","666-Zooters",3
"504-Duplo","658-Dino",16
"504-Duplo","722-Jurassic World",5
"22-Creator","204-Designer Sets",52
"52-City","57-Farm",21
"126-Space","132-Futuron",20
"1-Technic","17-Speed Slammers",5
"501-Gear","730-Audio and Visual Media",75
"535-Collectible Minifigures","715-Marvel Series 1",16
"126-Space","140-Space Police II",10
"276-Sculptures","277-Mosaic",7
"535-Collectible Minifigures","762-Series 26 Minifigures",16
"535-Collectible Minifigures","712-Series 21 Minifigures",16
"507-Educational and Dacta","523-Samsonite",2
"126-Space","128-Blacktron I",9
"535-Collectible Minifigures","745-Disney 100",22
"52-City","418-Gas Station",6
"518-Mindstorms","521-WeDo",40
"697-Batman","708-The LEGO Batman Movie",44
"632-Town","650-Legoville",86
"207-Advent","216-Friends",13
"501-Gear","733-Houseware",327
"535-Collectible Minifigures","549-The LEGO Movie",19
"206-Seasonal","231-Thanksgiving",8
"258-Mindstorms","260-RCX",22
"465-Universal Building Set","473-Supplemental",96
"186-Castle","198-Knights Kingdom II",86
"206-Seasonal","232-Valentine",21
"608-Disney","687-Frozen",34
"571-Legends of Chima","573-Constraction",16
"52-City","58-Fire",14
"206-Seasonal","230-Halloween",31
"112-Racers","122-RC",25
"126-Space","137-Mars Mission",21
"598-Promotional","157-Bricktober",38
"501-Gear","731-Bag and Luggage Tags",100
"50-Town","94-Town Jr.",40
"443-Service Packs","456-Train",76
"50-Town","90-Paradisa",21
"50-Town","87-Extreme Team",21
"504-Duplo","626-Bob the Builder",31
"126-Space","144-UFO",19
"465-Universal Building Set","472-Gears",11
"535-Collectible Minifigures","692-Series 20 Minifigures",20
"535-Collectible Minifigures","718-Series 22 Minifigures",16
"535-Collectible Minifigures","753-Series 25 Minifigures",16
"258-Mindstorms","262-EV3",14
"696-Super Heroes Marvel","704-Guardians of the Galaxy",15
"504-Duplo","653-DC Comics",9
"304-Alpha Team","306-Mission Deep Freeze",9
"504-Duplo","660-Little Forest Friends",10
"50-Town","89-Outback",5
"535-Collectible Minifigures","557-DFB Minifigures",19
"147-Pirates","154-Pirates III",10
