"id","color_name","rgb","color_group","group_rgb","is_trans"
0,Black,"05131D",Black,"05131D",false
1,Blue,"0055BF",Blue,"0055BF",false
2,Green,"237841",Green,"237841",false
4,Red,C91A09,Red,C91A09,false
5,Dark Pink,C870A0,Pink,FC97AC,false
6,Brown,"583927",Brown,"583927",false
9,Light Blue,B4D2E3,Blue,"0055BF",false
10,Bright Green,"4B9F4A",Green,"237841",false
12,Salmon,F2705E,Salmon,F2705E,false
13,Pink,FC97AC,Pink,FC97AC,false
14,Yellow,F2CD37,Yellow,F2CD37,false
15,White,FFFFFF,White,FFFFFF,false
17,Light Green,C2DAB8,Green,"237841",false
18,Light Yellow,FBE696,Yellow,F2CD37,false
19,Tan,E4CD9E,Tan,E4CD9E,false
20,Light Violet,C9CAE2,Violet,"4354A3",false
21,Glow In Dark Opaque,D4D5C9,Glow In Dark Opaque,D4D5C9,false
22,Purple,"81007B",Purple,"81007B",false
23,Dark Blue-Violet,"2032B0",Violet,"4354A3",false
25,Orange,FE8A18,Orange,FE8A18,false
27,Lime,BBE90B,Lime,BBE90B,false
28,Dark Tan,"958A73",Tan,E4CD9E,false
29,Bright Pink,E4ADC8,Pink,FC97AC,false
30,Medium Lavender,AC78BA,Lavender,E1D5ED,false
31,Lavender,E1D5ED,Lavender,E1D5ED,false
32,Trans-Black IR Lens,"635F52",Trans-Black IR Lens,"635F52",true
33,Trans-Dark Blue,"0020A0",Blue,"0055BF",true
34,Trans-Green,"84B68D",Green,"237841",true
35,Trans-Bright Green,D9E4A7,Green,"237841",true
36,Trans-Red,C91A09,Red,C91A09,true
40,Trans-Brown,"635F52",Brown,"583927",true
41,Trans-Light Blue,AEEFEC,Blue,"0055BF",true
42,Trans-Neon Green,F8F184,Green,"237841",true
43,Trans-Very Lt Blue,C1DFF0,Blue,"0055BF",true
45,Trans-Dark Pink,DF6695,Pink,FC97AC,true
46,Trans-Yellow,F5CD2F,Yellow,F2CD37,true
47,Trans-Clear,FCFCFC,Trans-Clear,FCFCFC,true
52,Trans-Purple,A5A5CB,Purple,"81007B",true
54,Trans-Neon Yellow,DAB000,Yellow,F2CD37,true
57,Trans-Neon Orange,FF800D,Orange,FE8A18,true
61,Chrome Blue,"6C96BF",Blue,"0055BF",false
62,Chrome Green,"3CB371",Green,"237841",false
63,Chrome Pink,AA4D8E,Pink,FC97AC,false
64,Chrome Black,"1B2A34",Black,"05131D",false
68,Very Light Orange,F3CF9B,Orange,FE8A18,false
69,Light Purple,CD6298,Purple,"81007B",false
70,Reddish Brown,"582A12",Brown,"583927",false
73,Medium Blue,"5A93DB",Blue,"0055BF",false
74,Medium Green,"73DCA1",Green,"237841",false
75,Speckle Black-Copper,"05131D",Copper,AE7A59,false
77,Light Pink,FECCCF,Pink,FC97AC,false
78,Light Nougat,F6D7B3,Nougat,D09168,false
79,Milky White,FFFFFF,White,FFFFFF,false
81,Metallic Green,"899B5F",Green,"237841",false
84,Medium Nougat,AA7D55,Nougat,D09168,false
85,Dark Purple,"3F3691",Purple,"81007B",false
86,Light Brown,"7C503A",Brown,"583927",false
89,Royal Blue,"4C61DB",Blue,"0055BF",false
92,Nougat,D09168,Nougat,D09168,false
100,Light Salmon,FEBABD,Salmon,F2705E,false
110,Violet,"4354A3",Violet,"4354A3",false
112,Medium Bluish Violet,"6874CA",Violet,"4354A3",false
114,Glitter Trans-Dark Pink,DF6695,Pink,FC97AC,true
115,Medium Lime,C7D23C,Lime,BBE90B,false
117,Glitter Trans-Clear,FFFFFF,Glitter Trans-Clear,FFFFFF,true
120,Light Lime,D9E4A7,Lime,BBE90B,false
125,Light Orange,F9BA61,Orange,FE8A18,false
129,Glitter Trans-Purple,A5A5CB,Purple,"81007B",true
134,Copper,AE7A59,Copper,AE7A59,false
137,Pearl Sand Blue,"7988A1",Blue,"0055BF",false
143,Trans-Medium Blue,CFE2F7,Blue,"0055BF",true
158,Yellowish Green,DFEEA5,Green,"237841",false
